cut	BPU_1	BPU_3	DE_18	DE_3	EA_41	EA_44	EA_48	EA_200	D_98	D_99	IP_43	IP_43a	BPU_20	BPU_21	BPU_22	BPU_23	BPU_28a	BPU_28b	BPU_29	BPU_7	BPU_8	BPU_3	BPU_4	BPU_1	BPU_25	BPU_26	BPU_26*	BPU_26b	DE_36	EA_93	DE_25	DE_33	DE_102	DE_105	DE_28	DE_31	DE_16	DE_29	EA_16	EA_10	EA_90	EA_8	EA_9	EA_34	EA_35	EA_22	EA_22a	EA_23	IP_33a	IP_33b	IP_33c	BPU_24	IS_91	IS_40	IS_31	IS_32	IS_33	IS_34	IS_36	IS_37	IS_39	IS_39a	IS_58	IS_20	DE_48	EA_31	IS_5	EA_48	IG_1	IG_66	DE_3	DE_99	DE_100	DE_101	DE_18	DE_98	IP_6	IP_34	IP_34a	IP_48	IP_43	IP_43a	IP_47	IP_47a	IG_22	IG_92	IG_91	IG_90
5101	862.42	706.99				0	1.49						698.60	100996	2187.15	222191	34.33	75.52	1.25	1071.14	8.57	706.99	0.81	862.42	239.34	29.7	S/I	4.69		0.15	17.91	0.83	45.5	72.7	2.90	263.39	50	60		S/I	S/I			1.20	S/R	687.27	563.43	0.13				610.70	5.35	37.31	18.30	9	6.32	2.36	15.42	17.05	38.21	45.29	0.88		12.27		0.00	1.50	17.74	SI	35.61						9.42	S/ZCH	S/ZCH	SI	0	9				S/I		31.04
5102	633.07	567.79				0	S/I						331.96	12837	S/I	S/I	71.52	S/I	3.38	S/I	4.46	567.79	1.07	633.07	S/I	S/I	S/I	S/I		S/I	10.07	S/I	S/I	S/I	60.16	729.02	S/I	S/I		S/I	S/I			0.87	S/R	742.21	1495.19	0.13				177.75	7.13	49.28	13.59	228	5.53	0.87	10.14	28.79	S/I	S/I	0.33		4.6		0.00	Comuna no costera	8.73	NO	20.3						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		44.84
5103	731.21	714.87				0	1.33						337.03	28341	845.80	39296	72.03	99.88	11.98	1704.22	19.22	714.87	0.69	731.21	367.74	5.35	S/I	0.96		S/I	15.50	0.90	18.4	46.6	6.77	187.21	45	60		S/I	S/I			1.18	S/R	1036.04	1036.93	0.03				833.58	6.66	34.66	9.77	545	4.41	1.49	5.40	15.46	28.57	46.31	0.39		11.32		0.87	1.41	49.83	SI	12.8						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		45.05
5105	996.79	920.55				0	5.86						1014.74	3203	S/I	S/I	20.26	S/I	3.66	1388.66	10.12	920.55	0.83	996.79	1024.52	S/I	S/I	S/I		S/I	13.93	S/I	S/I	S/I	41.44	393.66	S/I	S/I		S/I	S/I			1.42	S/R	1368.81	946.45	0.01				129.16	11.48	14.28	21.86	230	6.59	0.94	15.00	23.45	S/I	S/I	0.35		2.45		0.00	5.98	45.38	SI	23.3						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		56.14
5107	718.33	677.42				0	6.56						487.85	12856	2965.34	11834	48.98	45.09	5.06	S/I	S/I	677.42	1.00	718.33	472.65	S/I	S/I	S/I		0.78	13.25	S/I	S/I	S/I	11.59	367.83	S/I	S/I		S/I	S/I			1.21	2.61	786.50	1257.00	0.02				202.44	13.67	28.59	17.59	511	7.10	1.52	15.84	26.74	S/I	S/I	0.38		9.64		0.02	6.52	49.89	NO	63.58						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO	986.3	51.65
5109	944.92	653.78				0	10.75						422.81	186775	2411.59	217937	56.11	65.47	4.01	1233.32	10.69	653.78	0.80	944.92	253.42	14.73	S/I	2.53		0.46	21.15	0.92	37.4	63.6	5.10	281.30	55	60		S/I	S/I			1.18	S/R	790.76	697.42	0.04				710.07	5.38	30.92	10.36	7	4.68	1.87	9.81	16.01	46.72	49.77	0.49		7.45		0.00	10.50	47.28	NO	7.63						17.91	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				S/I		26.53
5301	687.34	776.47				0							195.91	55612	2116.33	50284	92.59	83.72	5.04	1572.40	22.79	776.47	0.94	687.34	2224.46	S/I	S/I	S/I		0.72	23.95	S/I	S/I	S/I	7.45	380.19	S/I	S/I		S/I	S/I			1.06	S/R	763.74	673.07	0.36				657.87	11.73	46.09	13.26	656	4.81	1.13	5.31	8.98	S/I	S/I	0.31		9.41		0.01	Comuna no costera	36.83	NO	48.5						0	S/ZCH	S/ZCH	SI	0	0				S/I		36.55
5304	1031.76	948.35				0							258.19	9848	S/I	S/I	86.77	S/I	6.30	1582.18	S/I	948.35	0.42	1031.76	S/I	S/I	S/I	S/I		S/I	9.38	S/I	S/I	S/I	10.05	361.72	S/I	S/I		S/I	S/I			0.77	2.51	681.27	884.85	0.53				316.56	18.33	35.39	14.11	124	6.22	0.99	14.53	19.61	S/I	S/I	0.14		9.48		0.02	Comuna no costera	90.36	NO	59.03						0	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				NO	3440.1	53.55
5501	646.16	691.73				0							335.53	51672	2339.48	48351	66.80	62.51	3.11	933.81	6.21	691.73	0.89	646.16	554.89	S/I	S/I	S/I		S/I	18.66	S/I	S/I	S/I	4.21	360.93	S/I	S/I		S/I	S/I			2.80	S/R	714.78	652.72	0.31				557.75	6.03	52.70	11.03	1	4.89	1.80	10.55	12.17	S/I	S/I	0.32		7.41		0.01	Comuna no costera	7.08	NO	47.68						0.11	SI	NO	SI	Sin ZT	Sin ZT				S/I		33.93
5502	544.88	671.85				0							349.64	29782	1402.83	44616	61.32	91.86	3.60	1046.34	3.29	671.85	1.07	544.88	509.55	S/I	S/I	S/I		6.30	12.14	S/I	S/I	S/I	3.77	241.53	S/I	S/I		S/I	S/I			1.03	S/R	647.05	584.90	S/I				490.19	7.70	42.75	12.99	828	7.25	1.33	19.81	30.96	S/I	S/I	0.33		7.74		0.03	Comuna no costera	15.76	NO	52.53						0	NO	NO	NO	0	0				S/I		40.12
5503	1056.98	1154.99				0							692.08	6182	1594.14	7867	52.69	67.06	5.65	2213.18	6.82	1154.99	0.96	1056.98	945.07	S/I	S/I	S/I		S/I	5.50	S/I	S/I	S/I	10.67	368.10	S/I	S/I		S/I	S/I			1.66	S/R	677.63	1714.92	0.23				89.65	11.94	36.11	20.61	257	7.56	2.13	8.87	18.22	S/I	S/I	0.16		1.53		0.00	Comuna no costera	96.03	NO	48.62						0	NO	NO	NO	Sin ZT	Sin ZT				S/I		49.21
5504	806.45	875.45				0							463.75	10375	5223.41	1547	53.46	7.97	1.69	1392.41	S/I	875.45	0.42	806.45	470.98	S/I	S/I	S/I		S/I	8.25	S/I	S/I	S/I	0.00	121.83	S/I	S/I		S/I	S/I			S/I	S/R	708.18	794.90	0.11				485.32	9.40	59.89	10.10	176	4.21	0.48	5.99	15.64	S/I	S/I	0.24		5.04		0.04	Comuna no costera	13.65	NO	44.66						0	NO	NO	NO	Sin ZT	Sin ZT				S/I		53.67
5601	582.01	629.15				0	3.34						383.77	64789	1777.72	80442	75.13	93.28	6.23	977.32	13.45	629.15	0.93	582.01	S/I	S/I	S/I	S/I		S/I	16.68	1.33	33.5	59.1	8.41	278.57	40	55		S/I	S/I			0.92	2.1	680.06	757.93	S/I				433.69	6.90	43.82	13.62	1	6.91	1.20	7.71	17.93	S/I	S/I	0.44		14.13		0.01	3.44	9.34	NO	46.32						0	SI	NO	SI	Sin ZT	Sin ZT				SI	4467.6	30.86
5603	887.09	893.74				0	15.48						579.18	8512	6071.80	S/I	40.94	S/I	2.40	1541.34	11.54	893.74	0.99	887.09	S/I	S/I	S/I	S/I		S/I	23.84	S/I	S/I	S/I	4.11	407.29	S/I	S/I		S/I	S/I			1.87	S/R	705.86	581.59	S/I				148.32	3.95	16.91	24.77	444	8.52	1.29	13.26	20.78	S/I	S/I	0.51		12.59		0.01	15.87	87.78	NO	82.65						3.36	S/ZCH	S/ZCH	NO	0	0				S/I		45.44
5606	1406.78	1402.93				0	S/I						418.08	3439	S/I	S/I	55.95	S/I	13.81	1751.53	26.03	1402.93	0.99	1406.78	S/I	S/I	S/I	S/I		S/I	23.54	S/I	S/I	S/I	0.00	156.97	S/I	S/I		S/I	S/I			1.10	S/R	1542.96	2141.66	0.17				395.22	11.93	44.29	7.21	64	3.71	1.04	5.41	20.69	S/I	S/I	0.22		13.23		0.01	S/I	83.30	NO	9.31						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		53.61
5701	666.07	685.35				0							326.72	55847	958.75	63307	80.64	91.41	3.96	1534.13	23.10	685.35	0.84	666.07	1390.51	S/I	S/I	S/I		3.73	15.80	S/I	S/I	S/I	3.70	486.93	S/I	S/I		S/I	S/I			S/I	0	711.68	772.67	0.29				514.55	9.62	24.17	16.28	1	6.29	1.94	14.22	19.09	S/I	S/I	0.46		2.94		0.01	Comuna no costera	36.82	NO	47.22						12.66	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				NO	1479.3	38.30
5801	844.6	583.27				0							533.01	62918	2545.99	96878	42.51	65.46	1.90	1186.58	7.03	583.27	0.96	844.60	276.27	8.4	S/I	1.75		1.12	15.80	1.00	37.4	65.3	3.69	336.69	60	70		S/I	S/I			0.95	0	711.94	344.51	0.03				763.88	5.43	44.36	11.26	2	4.12	1.10	7.97	13.64	56.06	41.35	0.54		12.4		0.00	Comuna no costera	60.03	SI	49.05						0	SI	NO	NO	Sin ZT	Sin ZT				S/I	936.7	30.49
5802	873.47	649.1				0							629.13	23280	3123.66	16208	59.70	41.56	2.85	10444.33	S/I	649.10	1.06	873.47	1253.35	S/I	S/I	S/I		S/I	8.57	S/I	S/I	S/I	2.06	396.85	S/I	S/I		S/I	S/I			0.84	0.41	751.37	509.30	0.17				435.75	6.62	68.87	16.47	600	6.51	1.17	10.91	23.44	S/I	S/I	0.24		6.62		0.02	Comuna no costera	26.03	NO	55.89						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				SI	2822.4	37.31
5803	1059.97	1152.48				0							1066.37	3525	10533.55	S/I	29.38	S/I	1.36	2484.79	5.00	1152.48	0.86	1059.97	9661.67	S/I	S/I	S/I		S/I	5.22	S/I	S/I	S/I	10.74	284.56	S/I	S/I		S/I	S/I			S/I	S/R	1005.08	811.06	0.03				130.24	12.50	6.66	26.98	309	6.46	1.27	18.86	26.09	S/I	S/I	0.21		7.09		0.03	Comuna no costera	21.42	NO	47.7						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		53.55
5804	1129.19	767.3				0							394.09	75943	2267.31	91789	60.69	73.35	1.97	1394.22	4.36	767.30	0.77	1129.19	280.97	6.12	S/I	1.6		S/I	10.16	1.00	36.5	69.8	1.49	181.96	60	75		S/I	S/I			0.95	1.04	640.21	180.12	0				596.26	4.01	39.80	10.66	2	4.48	0.96	10.82	18.81	78.57	23.57	0.46		16.88		0.01	Comuna no costera	11.45	NO	61.86						0	NO	NO	NO	Sin ZT	Sin ZT				SI	2684.6	31.94
6101	916.43	712.85				0							193.46	212718	1262.15	215986	91.04	92.43	8.49	1318.75	2.05	712.85	0.85	916.43	250.75	4.14	S/I	S/I		5.76	36.11	S/I	S/I	S/I	5.02	312.29	S/I	S/I		S/I	S/I			1.09	0	726.04	665.27	0.14				614.47	11.33	49.05	9.68	3	5.16	1.27	13.16	22.47	57.77	40.95	0.49		4.51		0.01	Comuna no costera	16.29	SI	30.99						2.92	SI	NO	SI	0	0				NO		28.09
6108	1265.72	1308.87				0							341.26	40590	1885.33	44725	79.28	87.36	13.69	1682.44	1.56	1308.87	0.52	1265.72	2694.20	0.07	S/I	S/I		1.54	16.52	S/I	S/I	S/I	3.52	93.25	S/I	S/I		S/I	S/I			1.05	5.45	803.99	489.84	0.3				521.45	8.56	51.15	11.45	532	4.09	0.66	5.81	18.21	25.00	42.71	0.31		6.39		0.01	Comuna no costera	43.78	SI	20.86						0	SI	NO	SI	0	0				SI	1143.6	42.60
6115	626.7	733.33				0							309.32	38488	1630.03	30978	84.23	67.80	6.96	1675.06	11.82	733.33	1.05	626.70	S/I	S/I	S/I	S/I		0.76	9.83	S/I	S/I	S/I	12.86	247.62	S/I	S/I		S/I	S/I			0.92	S/R	642.67	875.94	0.09				278.22	9.56	60.83	20.28	770	7.05	1.06	15.68	28.18	S/I	S/I	0.20		8.05		0.06	Comuna no costera	5.16	SI	54.16						0	SI	NO	SI	Sin ZT	Sin ZT				S/I		41.35
6301	614.86	607.08				0							271.24	52143	1671.60	46548	82.14	73.33	6.31	1248.84	6.30	607.08	0.98	614.86	S/I	S/I	S/I	S/I		1.25	8.57	S/I	S/I	S/I	13.01	483.90	S/I	S/I		S/I	S/I			1.00	S/R	707.66	1025.13	0.32				379.99	13.19	36.65	15.12	784	6.24	1.06	10.68	17.45	S/I	S/I	0.36		3.81		0.02	Comuna no costera	27.15	NO	34.54						11.55	NO	NO	SI	Sin ZT	Sin ZT				S/I		40.77
7101	738.2	818.97				0							237.21	184849	954.19	203040	88.01	96.67	7.15	1011.34	1.90	818.97	0.93	738.20	270.39	6.4	S/I	S/I		4.68	12.33	S/I	S/I	S/I	7.74	330.08	S/I	S/I		S/I	S/I			1.19	0	756.43	788.97	0.08				674.29	8.41	35.57	10.35	3	5.69	1.84	13.99	16.69	62.50	40.17	0.35		13.42		0.00	Comuna no costera	2.56	SI	39.02						8.26	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				S/I		32.82
7102	592.24	610.42				0	14.23						626.54	11411	1908.96	33433	30.68	89.88	4.54	1020.07	6.45	610.42	0.89	592.24	S/I	S/I	S/I	S/I		0.49	5.32	S/I	S/I	S/I	14.02	296.40	S/I	S/I		S/I	S/I			1.05	S/R	596.55	1029.88	0.24				189.79	18.51	16.85	13.78	491	5.78	0.95	23.86	22.01	S/I	S/I	0.11		7.32		0.00	14.44	7.77	NO	64.52						0	SI	NO	NO	Sin ZT	Sin ZT				S/I		48.71
7105	626.14	1218.47				0							196.91	34004	1952.25	24500	87.71	63.19	5.60	1749.68	6.19	1218.47	0.29	626.14	222.14	1.96	S/I	S/I		0.50	11.92	S/I	S/I	S/I	18.23	392.04	S/I	S/I		S/I	S/I			2.41	S/R	586.65	352.27	0.09				121.90	10.81	49.18	13.33	351	9.36	0.56	17.62	33.16	33.33	53.21	0.25		0.81		0.03	Comuna no costera	21.10	NO	62.42						4.33	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO	747.6	47.77
7301	696.27	655.39				0							261.74	111498	2374.68	99505	84.63	75.52	8.22	1169.68	14.42	655.39	0.90	696.27	S/I	S/I	S/I	3.59		3.69	16.64	S/I	S/I	S/I	8.19	646.75	S/I	S/I		S/I	S/I			1.09	0.69	766.90	767.99	0.32				552.13	11.48	42.97	12.88	2	6.60	1.39	15.42	15.41	S/I	S/I	0.33		8.67		0.11	Comuna no costera	2.60	SI	42.55						5.26	NO	NO	SI	0	0				NO	787.2	37.81
7305	369.13	1252.21				0							243.70	4776	S/I	S/I	86.52	S/I	5.00	951.41	S/I	1252.21	0.39	369.13	S/I	S/I	S/I	S/I		S/I	6.43	S/I	S/I	S/I	54.84	557.59	S/I	S/I		S/I	S/I			0.78	2.74	626.19	673.82	S/I				39.23	18.61	79.68	19.70	53	9.35	0.86	18.15	19.58	S/I	S/I	0.20		1.85		0.09	Comuna no costera	8.97	NO	53.87						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				SI		55.98
7306	357.08	756.95				0							277.05	4506	1683.23	6480	69.54	100.00	10.59	830.20	12.35	756.95	1.07	357.08	S/I	S/I	S/I	S/I		S/I	17.50	S/I	S/I	S/I	31.80	470.71	S/I	S/I		S/I	S/I			0.72	0	735.03	2844.85	S/I				119.12	17.51	36.66	17.42	100	8.33	1.36	16.53	21.08	S/I	S/I	0.13		5.13		0.10	Comuna no costera	65.67	SI	35.17						1.07	NO	NO	SI	Sin ZT	Sin ZT				SI	1272.2	53.45
7401	565.6	752.43				0							250.93	65446	1870.23	69667	84.88	90.35	4.24	966.31	8.30	752.43	0.99	565.60	S/I	S/I	S/I	S/I		2.75	14.50	S/I	S/I	S/I	7.07	533.03	S/I	S/I		S/I	S/I			0.96	0	714.86	547.77	0.01				455.63	9.23	55.08	14.95	972	7.13	1.21	14.93	22.79	S/I	S/I	0.28		3.7		0.01	Comuna no costera	2.77	NO	52.53						0.05	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		33.51
8101	871.67	712.07				0							334.88	155100	1793.91	180353	71.30	82.91	8.74	1240.49	7.36	712.07	1.05	871.67	257.12	29.05	S/I	S/I		4.29	26.96	S/I	S/I	S/I	5.50	423.01	S/I	S/I		S/I	S/I			1.13	S/R	861.98	867.71	0.12				786.33	3.43	31.70	9.25	6	4.80	2.88	11.60	13.45	53.19	45.22	0.62		9.48		0.25	Comuna no costera	15.80	SI	12.06						0.11	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				S/I		28.41
8102	641.15	671.69				0	8.16						260.42	90496	1614.89	93094	82.01	84.37	4.23	1416.37	10.88	671.69	0.85	641.15	1443.94	0.25	S/I	S/I		1.81	11.27	S/I	S/I	S/I	4.04	278.24	S/I	S/I		11.47	10.42			1.04	S/R	606.48	1587.73	S/I				625.22	7.76	43.83	16.19	1	7.13	0.75	14.54	15.79	37.50	35.12	0.57		20.29		0.00	8.64	65.85	SI	51.97						1.1	NO	NO	SI	0	0				S/I		42.95
8103	858.51	652.2				0							298.01	63354	12065.09	489	73.98	0.57	3.10	1368.18	17.52	652.20	0.84	858.51	303.35	9.86	S/I	S/I		1.80	17.63	S/I	S/I	S/I	4.42	402.49	S/I	S/I		S/I	S/I			1.01	0	675.22	215.47	0.01				719.49	4.43	47.80	12.14	1	5.23	1.02	13.89	15.27	50.00	50.57	0.54		8.94		0.00	Comuna no costera	27.34	SI	56.44						0	NO	NO	NO	Sin ZT	Sin ZT				NO	1073.6	37.22
8105	578.53	621.47				0							397.34	13592	S/I	S/I	65.21	S/I	2.52	719.65	15.35	621.47	0.83	578.53	167.50	3.3	S/I	S/I		1.00	5.67	S/I	S/I	S/I	19.40	197.84	S/I	S/I		S/I	S/I			0.80	S/R	519.32	225.97	S/I				375.90	21.19	30.22	20.56	357	8.15	1.03	17.27	26.24	S/I	S/I	0.31		9.06		0.03	Comuna no costera	51.27	SI	78.28						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		46.73
8106	458.68	503.64				0	13.16						630.78	25301	2447.32	30140	58.47	69.65	5.34	1193.67	18.49	503.64	1.05	458.68	S/I	S/I	S/I	S/I		0.13	16.67	S/I	S/I	S/I	8.73	357.73	S/I	S/I		S/I	S/I			S/I	S/R	523.02	256.82	0.09				559.38	22.38	19.45	24.93	913	8.37	1.08	20.05	23.15	S/I	S/I	0.56		20.15		0.02	13.09	28.77	NO	77.7						2.26	S/ZCH	S/ZCH	NO	0	0				S/I		50.66
8107	540.21	603.08				0	15.87						278.38	35762	10164.10	S/I	77.10	S/I	2.61	1079.19	34.50	603.08	0.80	540.21	274.80	5.93	S/I	S/I		S/I	3.46	S/I	S/I	S/I	12.11	684.42	S/I	S/I		S/I	S/I			1.15	0	614.17	498.66	0.02				496.14	4.17	44.89	17.46	914	8.17	1.08	17.31	18.97	23.07	20.12	0.46		5.39		0.02	16.49	20.94	SI	57.44						0.84	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				SI	1161.9	49.63
8108	1270.55	977.39				0	S/I						250.96	109200	3907.29	52224	83.03	39.71	7.50	1573.08	10.09	977.39	0.64	1270.55	449.61	12.55	S/I	S/I		4.78	19.94	S/I	S/I	S/I	5.68	232.12	S/I	S/I		S/I	S/I			0.89	0	705.05	312.94	0.01				769.93	5.65	39.17	11.17	1	6.25	0.72	14.54	17.88	30.76	48.93	0.52		28.21		0.01	S/I	15.27	SI	23.95						0	SI	NO	SI	Sin ZT	Sin ZT				SI	32.8	33.65
8109	441.99	557.96				0							269.13	7664	1311.60	9549	80.26	100.00	7.02	S/I	S/I	557.96	1.03	441.99	S/I	S/I	S/I	S/I		S/I	3.38	S/I	S/I	S/I	20.46	381.94	S/I	S/I		S/I	S/I			0.68	0	484.12	324.25	S/I				54.61	75.49	54.92	17.62	85	6.50	0.51	24.06	30.78	S/I	S/I	0.23		4.36		0.02	Comuna no costera	40.58	SI	77.54						31.62	NO	NO	SI	Sin ZT	Sin ZT				NO	4202.9	54.12
8110	830.8	598.7				0	43.76						361.94	100476	2013.76	112621	67.17	75.28	4.26	1132.08	12.17	598.70	0.80	830.80	242.83	17.04	S/I	S/I		2.55	23.30	S/I	S/I	S/I	5.69	232.78	S/I	S/I		S/I	S/I			1.08	S/R	645.86	607.10	0.04				878.02	3.77	42.40	12.69	3	5.88	1.59	12.90	11.44	43.75	47.00	0.54		13.8		0.00	43.01	2.39	SI	28.07						0	SI	NO	SI	Sin ZT	Sin ZT				S/I		26.70
8111	693.09	729.13				0	9.39						842.69	12174	92.28	4045	24.74	8.22	2.05	984.54	14.63	729.13	0.94	693.09	S/I	S/I	S/I	S/I		1.89	7.00	S/I	S/I	S/I	1.72	265.89	S/I	S/I		S/I	S/I			0.88	4.8	658.53	330.47	S/I				503.25	7.39	20.55	18.43	908	6.08	0.98	11.87	19.92	S/I	S/I	0.27		17.48		0.00	9.27	27.98	SI	73.97						0.24	NO	NO	SI	Sin ZT	Sin ZT				NO	478.1	45.52
8112	499.99	568.88				0	14.15						174.37	86243	1100.54	90051	95.08	99.28	4.20	632.14	12.35	568.88	0.70	499.99	168.42	20.36	S/I	S/I		3.41	39.70	S/I	S/I	S/I	10.36	318.14	S/I	S/I		S/I	S/I			1.00	S/R	623.92	399.64	S/I				458.54	2.95	28.36	11.31	1	5.76	1.67	10.19	17.14	40.00	31.63	0.60		13.45		0.01	14.20	23.33	NO	40.78						0	SI	NO	NO	Sin ZT	Sin ZT				S/I		36.39
