cut	name	region	city	cityName
13120	Ñuñoa	Metropolitana	13001	Gran Santiago
13121	Pedro Aguirre Cerda	Metropolitana	13001	Gran Santiago
13122	Peñalolén	Metropolitana	13001	Gran Santiago
13123	Providencia	Metropolitana	13001	Gran Santiago
13124	Pudahuel	Metropolitana	13001	Gran Santiago
13125	Quilicura	Metropolitana	13001	Gran Santiago
13126	Quinta Normal	Metropolitana	13001	Gran Santiago
13127	Recoleta	Metropolitana	13001	Gran Santiago
13128	Renca	Metropolitana	13001	Gran Santiago
13129	San Joaquín	Metropolitana	13001	Gran Santiago
13130	San Miguel	Metropolitana	13001	Gran Santiago
13131	San Ramón	Metropolitana	13001	Gran Santiago
13132	Vitacura	Metropolitana	13001	Gran Santiago
13201	Puente Alto	Metropolitana	13001	Gran Santiago
13202	Pirque	Metropolitana	13001	Gran Santiago
13203	San José de Maipo	Metropolitana	13001	Gran Santiago
13301	Colina	Metropolitana	13001	Gran Santiago
13302	Lampa	Metropolitana	13001	Gran Santiago
13303	Tiltil	Metropolitana	13001	Gran Santiago
13401	San Bernardo	Metropolitana	13001	Gran Santiago
13402	Buin	Metropolitana	13001	Gran Santiago
13403	Calera de Tango	Metropolitana	13001	Gran Santiago
13404	Paine	Metropolitana	13001	Gran Santiago
13501	Melipilla	Metropolitana	13501	Melipilla
13601	Talagante	Metropolitana	13001	Gran Santiago
13602	El Monte	Metropolitana	13001	Gran Santiago
13603	Isla de Maipo	Metropolitana	13001	Gran Santiago
13604	Padre Hurtado	Metropolitana	13001	Gran Santiago
13605	Peñaflor	Metropolitana	13001	Gran Santiago
14101	Valdivia	Los Ríos	14101	Valdivia
15101	Arica	Arica y Parinacota	15101	Arica
16101	Chillán	Ñuble	16101	Chillán – Chillán Viejo
16103	Chillán Viejo	Ñuble	16101	Chillán – Chillán Viejo
16301	San Carlos	Ñuble	16301	San Carlos
